HCPCS,Mod,Description,Billing Unit,Managed Rental Rate,Managed Purchase Rate,Commercial Rental Rate,Commercial Purchase Rate,Comments
E0637,NU,"Combination sit-to-stand system, any size",Each,,Retail less 25%,,Retail less 36%,
E0638,NU,"Standing frame system, any size",Each,,Retail less 25%,,Retail less 36%,
E0641,NU,"Standing frame system, multi-position, any size",Each,,Retail less 25%,,Retail less 36%,
E0642,NU,"Standing frame system, mobile, any size",Each,,Retail less 25%,,Retail less 36%,
E0950,NU/RR,"Wheelchair accessory, tray",Each/Month,Retail less 36%,Retail less 36%,Retail less 36%,Retail less 36%,
E0951,NU,Heel L00ps,Each,,18.25,,Retail less 36%,
E0952,NU,Toe L00p/Holder,Each,,18.1,,Retail less 36%,
E0955,NU,"Wheelchair accessory, headrest, cushioned, any type, includes hardware",Each,,194.1,,Retail less 36%,
E0956,NU,"Wheelchair accessory, lateral trunk or hip support, any type, includes hardware",Each,,94.6,,Retail less 36%,
E0957,NU,"Wheelchair accessory, medial thigh
?upport, any type includes fixed mounting hardware",Each,,132.35,,Retail less 36%,
E0958,NU,"Wheelchair accessory, one-arm drive attachment",Each,,Retail less 36%,,Retail less 36%,
E0959,NU,"Wheelchair accessory, adapter for amputee",Each,,41.75,,Retail less 36%,
E0960,NU,"Wheelchair accessory, shoulder
harness/straps or chest strap, includes mountinq hardware",Each,,Retail less 36%,,Retail less 36%,
E0961,NU,"Wheelchair accessory, wheel lock brake extension handle",Each,,21.5,,Retail less 36%,
E0966,NU,Wheelchair head rest extension,Each,,74.5,,Retail less 36%,
E0967,NU,Manual wc hand rim w project,Each,,70.65,,Retail less 36%,
E0968,NU,Wheelchair commode seat,Each,,Retail less 36%,,Retail less 36%,
E0969,NU,Wheelchair narrowing device,Each,,174.4,,Retail less 36%,
E0971,NU/RR,"Anti-tipping device, manual wheelchair",Each/Month,2.8,28,2.8,28,
E0973,NU,"Armrest, adjustable height, detachable, complete assembly",Each,,110.35,,Retail less 36%,
E0974,NU/RR,"Wheelchair accessory, antirollback device",Each/Month,7.7,77,Retail less 36%,Retail less 36%,
E0978,NU,"Wheelchair accessory, belUstrap",Each,,34.85,,Retail less 36%,
E0980,NU,Wheelchair safety vest,Each,,34.35,,Retail less 36%,
E0981,NU,"Seat upholstery, replacement",Each,,45.25,,Retail less 36%,
E0982,NU,"Back upholstery, replacement",Each,,49.45,,Retail less 36%,
E0983,NU,Convert MWC to PWC- joystick control,Each,,Retail less 36%,,Retail less 36%,
E0984,NU,Convert MWC to PWC - tiller control,Each,,Retail less 36%,,Retail less 36%,
E0985,NU,"Wheelchair accessory, seat lift mechanism",Each,,226,,Retail less 36%,
E0986,NU,"Wheelchair accessory, push activated power assist",Each,,Retail less 36%,,Retail less 36%,
E0988,NU,"Wheelchair accessory, wheel drive",Pair,,3204.3,,Retail less 36%,
E0990,NU,Wheelchair elevating leg res,Each,,96.25,,Retail less 36%,
E0992,NU,Wheelchair solid seat insert,Each,,78.1,,Retail less 36%,
E0994,NU,Wheelchair arm rest,Each,,18.1,,Retail less 36%,
E0995,NU,Wheelchair calf rest,Each,,29.15,,Retail less 36%,
E1002,NU,"Wheelchair power seating system, tilt only",Each,,3664.5,,3664.5,
E1003,NU,"Wheelchair power seating system, recline only, without shear reduction",Each,,Retail less 36%,,Retail less 36%,
E1004,NU,"Wheelchair power seating system, recline only, with mechanical shear reduction",Each,,Retail less 36%,,Retail less 36%,
E1005,NU,"Wheelchair power seatng system, recline only, with power shear reduction",Each,,Retail less 36%,,Retail less 36%,
E1006,NU,"Wheelchair power seating system,
combination tilt and recline, without shear reduction",Each,,Retail less 36%,,Retail less 36%,
E1007,NU,"Wheelchair power seating system, combination tilt and recline, with mechanical shear reduction",Each,,7902.95,,7902.95,
E1008,NU,"Wheelchair power seating system, combination tilt and recline, with power
shear reduction",Each,,Retail less 36%,,Retail less 36%,
E1009,NU,"Addition to power seating system, mechanically linked leg elevation system, including pushrod and leg rest",Each,,Retail less 36%,,Retail less 36%,
E1010,NU,"Addition to power seating system, power leg elevation system, including leg rest",Each,,Retail less 36%,,Retail less 36%,
E1011,NU,"Modification to pediatric size wheelchair,
width adjustment package (not to be dispensed with initial chair)",Each,,Retail less 36%,,Retail less 36%,
E1012,NU,"Wheelchair accessory, Center mount, power elevating leg rest",Each,,1795,,1795,
E1014,NU,"Wheelchair accessory, reclining back, additional to pediatric wheelchair",Each,,Retail less 36%,,Retail less 36%,
E1015,NU,Shock absorber for manual wheelchair,Each,,125.1,,Retail less 36%,
