HCPCS,Modifier,Description,,Billing Unit,Rental Rate,Purchase Rate,Comments
A4481,NU,Tracheostoma filter,,Each,,0.81,"62 per month, otherwise Certification Required"
A4483,NU,"Moisture exchanger, disposable",,Each,,3.38,"62 per month, otherwise Certification Required"
A4556,NU,"Electrodes, apnea monitor",,Pair,,8.5,
A4557,NU,Lead wires,,Pair,,Retail less 30%,"1 unit every 12 months, otherwise Certification Required"
A4558,NU,Conductive paste/ gel,,1 oz,,4.1,"Billable with Apnea Monitor. Not
billable for TENS as it is included in A4595 Kit."
A4595,NU,Electrical stimulator supplies,,Kit,,23.95,"2 Kits per month is standard, otherwise Certification Required
* Kit may include electrodes,"
A4604,NU,CPAP tubing with integrated heating element,,Each,,50,"1 per 3 months, otherwise Certification Required"
A4605,NU,"Tracheal suction catheter, closed system",,Each,,14.9,No set Medicare Allowable. Prescribed Qty Allowed
A4606,NU,"Oxygen probe for oximeter, replacement",,Each,,31.5,
A4614,NU,Peak Flow Meter,,Each,,20.35,No set Medicare Allowable. Prescribed Qty Allowed
A4615,NU,"Cannula or mask with 7"" tubing",,Each,,Non-billable,Non-billable
A4616,NU,"Extension tubing, 50 ft.",,Each,,Non-billable,Non-billable
A4620,NU,Variable oxygen mask,,Each,,Non-billable,Non-billable
A4623,NU,"Tracheostomy, inner cannula",,Each,,5.75,"62 per month, otherwise Certification Required"
A4624,NU,Tracheal suction catheter,,Each,,2.25,"3 per day, otherwise Certification Required"
A4625,NU,Tracheostomy Care Kit - new tracheostomy,,Kit,,5,"31 per month, otherwise Certification Required"
A4626,NU,Tracheostomy cleaning brush,,Each,,2.8,"2 per month, otherwise Certification Required"
A4627,NU,Aero chamber,,Each,,21.6,"Not covered for PHP Medicare.
Network Provider to bill with GZ modifier for denial."
A4628,NU,Oropharyngeal suction catheter,,Each,,3.1,"3 per week, otherwise Certification Required"
A4629,NU,Tracheostomy Care Kit - established tracheostomy,,Kit,,3.95,"31 per month, otherwise Certification Required
For use with all tracheostomy patients more than two weeks post operative."
A4640,NU,Alternating pressure pad,,Each,,43.6,Replacement Pad for patient owned Alternatinq Pump
A6402,NU,"Sterile gauze, 16 square inches or less, without adhesive border",,Each,,0.09,"90 per month without border, otherwise Certification Required. Also used for VAP patient- DM/
DA /DG for PHP Med"
A6403,NU,"Sterile gauze, 16 - 48 square inches, without adhesive border",,Each,,0.33,"90 per month without border, otherwise Certification Required"
A6407,NU,Packing strips,,1 yard,,1.44,No set Medicare Allowable. Prescribed Qty Allowed
A6410,NU,Sterile eye pad,,Each,,0.3,No set Medicare Allowable. Prescribed Qty Allowed
A6530-A6541,NU,Gradient Compression stocking - all types,,Each,,Retail less 25%,Certification required
A6544-A6549,NU,Gradient Compression stocking - all types,,Each,,Retail less 25%,Certification required
A7002,NU,"Tubing, used with suction",,Each,,3.28,
A7003,NU,"Administration set, small volume nebulizer,",,Each,,1.94,"2 per month, otherwise Certification Required"
A7004,NU,"Nebulizer cup only, disposable",,Each,,1.48,"2 per month, otherwise Certification Required (May be billed in addition to A7003)"
A7007,NU,"Large volume nebulizer,
disposable, unfilled, used",,Each,,4.15,"2 per month, otherwise Certification Required"
A7009,NU,"Reservoir bottle, non-disposable, used with large",,Each,,35.95,No set Medicare Allowable. Prescribed Qty Allowed
A7010,NU,"Corrugated tubing, disp, used with large volume",,100 ft,,15,"100 feet per 2 months, otherwise Certification Required"
A7012,NU,"Water collection device, used with large volume",,Each,,2.75,"2 per month, otherwise Certification Required"
A7013,NU,"Filter, disposable, used with aerosol compressor",,Each,,0.5,"2 per month, otherwise Certification Required"
A7015,NU,Aerosol mask for DME nebulizer,,Each,,1.6,"1 per month, otherwise Certification Required"
A7027,NU,"Combination oral/nasal mask, used with continuous",,Each,,202,"1 per 3 months, otherwise Certification Required"
A7028,NU,Oral cushion for combination oral/nasal,,Each,,41,"2 per 1 month, otherwise Certification Required"
A7029,NU,Nasal pillows for combination oral/nasal,,Pair,,18.5,"2 per 1 month, otherwise Certification Required"
A7030,NU,CPAP full face mask,,Each,,128.5,"1 per 3 months, otherwise Certification Required"
A7031,NU,CPAP face mask Interface - replacement,,Each,,47.6,"1 per month, otherwise Certification Required"
A7032,NU,"CPAP mask cushion, replacement",,Each,,27.75,"2 per 1 month, otherwise Certification Required"
A7033,NU,"CPAP pillows, replacement",,Pair,,19.3,"2 per 1 month, otherwise
Certification Required"
A7034,NU,CPAP mask,,Each,,80,"1 per 3 months, otherwise Certification Required"
A7035,NU,Head gear for CPAP,,Each,,30,"1 per 6 months, otherwise Certification Required"
A7036,NU,Chin strap for CPAP,,Each,,13.25,"1 per 6 months, otherwise Certification Required"
A7037,NU,Tubing used with CPAP,,Each,,27.65,"1 per 3 months, otherwise Certification Required"
A7038,NU,"Filter, disposable for CPAP",,Each,,3.75,"2 per 1 month, otherwise Certification Required"
A7039,NU,"Filter, non-disposable for CPAP",,Each,,10.3,"1 per 6 months, otherwise Certification Required"
A7046,NU,Water chamber for humidifier for CPAP,,Each,,15.8,"1 per 6 months, otherwise Certification Required"
A7509,NU,Artificial nose,,Each,,2.7,"62 per month, otherwise Certification Required"
A9270,NU,NOC item of service,,Each,,Retail less 25%,Not covered by all LOB
A9900,NU/RR,Misc. DME supply or accessory NOC,,Each/Month,,Retail less 25%,Certification required
A9900,NU,Breast pump starter kit; used with heavy duty breast,,Each,,,Certification required
A9999,NU,Misc. DME supply or accessory NOC,,Each,,Retail less 25%,Certification required
E0100,NU,"Cane, all materials, adjustable/ fixed",,Each,,16.8,Purchase Only
E0105,NU,"Cane, quad (narrow or wide Base)",,Each,,34.2,Purchase Only
E0110,NU,"Crutches, forearm",,Pair,,69.8,Purchase Only
E0114,NU,"Crutches, underarm",,Pair,,33,Purchase Only
E0135,NU,"Walker, folding, adjustable or fixed height",,Each,,60,Purchase Only
E0143,NU,"Walker, folding with front wheels, adjustable or fixed",,Each,,92,Purchase Only
E0147,NU,"Walker, heavy duty multi-braking",,Each,,465.6,Purchase Only
E0148,NU,"Walker, heavy duty without wheels",,Each,,97.75,Purchase Only
E0149,NU,"Walker, heavy duty with wheels",,Each,,178,Purchase Only
E0153,NU,Crutch platform attachment,,Each,,56.2,Purchase Only
E0154,NU,Walker platform attachment,,Each,,57.1,Purchase Only
E0155,NU,"Walker wheels - standard or 5""",,Pair,,21,Purchase Only
E0156,NU,Walker seat attachment,,Each,,21.5,Purchase Only
E0158,NU,Walker leg extensions,,Set of 4,,23,Purchase Only
E0159,NU,Walker glide brakes,,Pair,,14,Purchase Only
E0163,NU,"Commode, stationary with fixed arms",,Each,,76,Purchase only; commode pail included
E0165,NU/RR,"Commode, stationary with detachable arms",,Each/Month,14.45,130.05,"Billable for replacement to
patient owned commode; otherwise bunded with rental."
E0167,NU,"Commode, pail or pan",,Each,,8.6,Replacement only for patient owned commode
E0168,NU/RR,"Commode, heavy duty",,Each/Month,14.45,130.05,Commode pail included
E0185,NU,Gel overlay mattress,,Each,,343.6,Purchase only
E0188,NU,Softgood kit for CPM,,Kit,,22.6,Purchase only
E0197,NU,Air pressure pad for mattress,,Each,,Retail less 25%,
E0199,NU,"Mattress, geo",,Each,,Retail less 25%,
E0236,RR,Aqua K pump,,Month,30,,Not covered by all LOB
E0241,NU,"Safety rail, bathtub wall",,Each,,20.7,Covered by PHA and YCCO. Not covered by PHP Commercial and PHP Medicare.
E0243,NU,"Safety rail, toilet",,Each,,34.8,Covered by PHA and YCCO. Not covered by PHP Commercial and PHP Medicare.
E0244,NU,Raised toilet seat (basic),,Each,,23.85,"Covered by PHA and YCCO. Not covered by PHP
Commercial and PHP Medicare."
E0245,NU,"Tub stool or bench, non-padded",,Each,,37.15,Covered by PHA and YCCO. Not covered by PHP Commercial and PHP Medicare.
E0247,NU,"Tub transfer bench, non-padded",,Each,,70.2,Covered by PHA and YCCO. Not covered by PHP Commercial and PHP Medicare.
E0248,NU,"Transfer bench, heavy duty",,Each,,Retail less 25%,"Covered by PHA and YCCO.
Not covered by PHP Commercial and PHP Medicare."
E0248,NU,"Transfer bench, heavy duty",,Each,,Retail less 25%,"Covered by PHA and YCCO.
Not covered by PHP Commercial and PHP Medicare."
E0249,NU,Aqua K pad,,Each,,60.75,Not covered by all LOB
E0255,NU/RR,"Hospital bed, Vari height w/rails & mattress, 350lb.
r.?n",,Each/Month,139,1339.8,"Certification required for rentals
greater than 3 months and for purchase."
E0256,NU/RR,"Hospital bed, Vari height w/rails, no mattress, 350lb.
r.?n",,Each/Month,117.45,1174.5,Certification required for rentals greater than 3 months and for purchase.
E0260,NU/RR,"Hospital bed, semi-electric w/rails& mattress, 350lb cap",,Each/Month,121.8,1339.8,Certification required for rentals greater than 3 months and for purchase.
E0265,NU/RR,"Hospital bed, full electric w/ rails & mattress, 350lb cap",,Each/Month,144,1584,Certification required
