HCPCS,Mod 1,Mod 2,Medicaid
A4206,,,$0.32
A4215,,,$0.22
A4216,,,$0.42
A4217,AU,,$4.38
A4217,,,$3.42
A4224,,,$21.74
A4225,,,$2.73
A4230,,,$15.29
A4231,,,$15.29
A4232,,,Prevailing State Rates
A4233,,,$0.71
A4235,,,$2.08
A4238,KF,,$317.65
A4238,,,$261.95
A4239,,,$293.26
A4245,,,$2.86
A4247,,,$6.50
A4252,,,$10.14
A4253,,,$32.78
A4253,KL,,$38.56
A4256,,,$10.15
A4258,,,$2.12
A4259,,,$11.04
A4281,,,Prevailing State Rates
A4282,,,Prevailing State Rates
A4283,,,Prevailing State Rates
A4284,,,Prevailing State Rates
A4285,,,Prevailing State Rates
A4286,,,Prevailing State Rates
A4287,,,Prevailing State Rates
A4310,,,$7.17
A4314,,,Prevailing State Rates
A4315,,,$24.47
A4320,,,$5.83
A4322,,,$2.99
A4326,,,$11.32
A4331,,,$3.47
A4332,,,$0.12
A4333,,,$2.42
A4334,,,$5.37
A4335,,,Cost Invoice
A4338,,,$13.39
A4340,,,$34.66
A4344,,,$17.47
A4346,,,$21.38
A4349,,,$2.19
A4351,,,$1.20
A4352,,,$4.62
A4353,,,$5.04
A4354,,,Prevailing State Rates
A4356,,,$46.32
A4357,,,$10.60
A4358,,,$6.38
A4361,,,Prevailing State Rates
A4362,,,$3.22
A4363,,,$2.58
A4364,,,$3.21
A4366,,,$1.41
A4367,,,$8.03
A4369,,,$2.25
A4371,,,$3.92
A4373,,,Prevailing State Rates
A4385,,,$5.56
A4388,,,$4.76
A4389,,,$6.78
A4390,,,$10.48
A4391,,,$7.71
A4392,,,Prevailing State Rates
A4393,,,$9.86
A4394,,,$2.83
A4395,,,Prevailing State Rates
A4396,,,$44.18
A4398,,,$15.09
A4399,,,$13.39
A4402,,,$1.74
A4404,,,$1.56
A4405,,,$3.73
A4406,,,$6.25
A4407,,,$9.56
A4408,,,$10.78
A4409,,,$6.78
A4410,,,$9.86
A4411,,,$5.56
A4412,,,$2.95
A4413,,,$6.02
A4414,,,$5.37
A4416,,,$3.01
A4417,,,$4.07
A4419,,,$1.88
A4422,,,$0.12
A4423,,,$2.02
A4424,,,$5.19
A4425,,,$3.90
A4426,,,$2.98
A4427,,,$3.05
A4428,,,$7.12
A4430,,,Prevailing State Rates
A4432,,,$3.91
A4433,,,Prevailing State Rates
A4437,,,Prevailing State Rates
A4450,AW,,Prevailing State Rates
A4450,,,$0.10
A4452,AW,,Prevailing State Rates
A4452,,,$0.32
A4453,,,Prevailing State Rates
A4455,,,$1.55
A4456,,,$0.26
