HCPCS,Mod 1,Mod 2,ASO/Commercial
A4206,,,0.32
A4215,,,0.22
A4216,,,0.42
A4217,AU,,Prevailing State Rates
A4217,,,3.42
A4224,,,21.74
A4225,,,2.73
A4230,,,12.49
A4231,,,Prevailing State Rates
A4232,,,3.41
A4233,,,Prevailing State Rates
A4235,,,1
A4238,KF,,317.65
A4238,,,317.65
A4239,,,293.26
A4245,,,Prevailing State Rates
A4247,,,Prevailing State Rates
A4252,,,9.1
A4253,,,32.78
A4253,KL,,Prevailing State Rates
A4256,,,Prevailing State Rates
A4258,,,2.12
A4259,,,11.04
A4281,,,30.96
A4282,,,24.68
A4283,,,Cost Invoice
A4284,,,17.8
A4285,,,Cost Invoice
A4286,,,Cost Invoice
A4287,,,0.35
A4310,,,7.17
A4314,,,30.02
A4315,,,Prevailing State Rates
A4320,,,Prevailing State Rates
A4322,,,2.99
A4326,,,Prevailing State Rates
A4331,,,3.47
A4332,,,0.12
A4333,,,2.42
A4334,,,Prevailing State Rates
A4335,,,Cost Invoice
A4338,,,13.39
A4340,,,44.36
A4344,,,17.47
A4346,,,Prevailing State Rates
A4349,,,2.19
A4351,,,1.2
A4352,,,4.62
A4353,,,5.04
A4354,,,14.03
A4356,,,Prevailing State Rates
A4357,,,10.6
A4358,,,6.38
A4361,,,24
A4362,,,3.22
A4363,,,Prevailing State Rates
A4364,,,Prevailing State Rates
A4366,,,1.69
A4367,,,8.03
A4369,,,2.25
A4371,,,3.92
A4373,,,8.19
A4385,,,5.56
A4388,,,4.66
A4389,,,Prevailing State Rates
A4390,,,10.48
A4391,,,Prevailing State Rates
A4392,,,Prevailing State Rates
A4393,,,12.63
A4394,,,2.83
A4395,,,Prevailing State Rates
A4396,,,44.18
A4398,,,19.31
A4399,,,Prevailing State Rates
A4402,,,1.74
A4404,,,1.87
A4405,,,Prevailing State Rates
A4406,,,6.25
A4407,,,9.56
A4408,,,10.78
A4409,,,6.78
A4410,,,11.82
A4411,,,5.56
A4412,,,Prevailing State Rates
A4413,,,6.02
A4414,,,5.37
A4416,,,Prevailing State Rates
A4417,,,4.07
A4419,,,1.88
A4422,,,Prevailing State Rates
A4423,,,2.42
A4424,,,5.19
A4425,,,3.9
A4426,,,Prevailing State Rates
A4427,,,3.05
A4428,,,7.12
A4430,,,9.3
A4432,,,3.91
A4433,,,4.39
A4437,,,22.77
A4450,AW,,0.14
A4450,,,0.1
A4452,AW,,0.53
A4452,,,0.42
A4453,,,26.6
A4455,,,1.55
A4456,,,0.26
A4459,,,Cost Invoice
A4467,,,Cost Invoice
A4481,,,Prevailing State Rates
A4483,,,6.03
