HCPCS,Mod 1,Mod 2,Medicare
A4206,,,$0.32
A4215,,,Prevailing State Rates
A4216,,,$0.42
A4217,AU,,$4.38
A4217,,,$3.42
A4224,,,$21.74
A4225,,,$2.73
A4230,,,Prevailing State Rates
A4231,,,Prevailing State Rates
A4232,,,Prevailing State Rates
A4233,,,Prevailing State Rates
A4235,,,$1.00
A4238,KF,,$317.65
A4238,,,$317.65
A4239,,,$293.26
A4245,,,Prevailing State Rates
A4247,,,Prevailing State Rates
A4252,,,Prevailing State Rates
A4253,,,$32.78
A4253,KL,,Prevailing State Rates
A4256,,,$16.84
A4258,,,$2.12
A4259,,,$11.04
A4281,,,Prevailing State Rates
A4282,,,Prevailing State Rates
A4283,,,Prevailing State Rates
A4284,,,Prevailing State Rates
A4285,,,Prevailing State Rates
A4286,,,Prevailing State Rates
A4287,,,Prevailing State Rates
A4310,,,$7.17
A4314,,,Prevailing State Rates
A4315,,,Prevailing State Rates
A4320,,,$6.99
A4322,,,$2.99
A4326,,,$13.56
A4331,,,$3.47
A4332,,,$0.12
A4333,,,$2.42
A4334,,,$5.37
A4335,,,Cost Invoice
A4338,,,$13.39
A4340,,,$44.36
A4344,,,$17.47
A4346,,,Prevailing State Rates
A4349,,,$2.19
A4351,,,$1.20
A4352,,,$4.62
A4353,,,$5.04
A4354,,,Prevailing State Rates
A4356,,,Prevailing State Rates
A4357,,,$10.60
A4358,,,$6.38
A4361,,,Prevailing State Rates
A4362,,,$3.22
A4363,,,$2.58
A4364,,,$3.21
A4366,,,$1.69
A4367,,,$8.03
A4369,,,$2.25
A4371,,,$3.92
A4373,,,$8.19
A4385,,,$5.56
A4388,,,$4.66
A4389,,,$8.12
A4390,,,$10.48
A4391,,,$9.87
A4392,,,$11.42
A4393,,,$12.63
A4394,,,$2.83
A4395,,,$0.05
A4396,,,$44.18
A4398,,,Prevailing State Rates
A4399,,,Prevailing State Rates
A4402,,,$1.74
A4404,,,Prevailing State Rates
A4405,,,$4.47
A4406,,,$6.25
A4407,,,$9.56
A4408,,,$10.78
A4409,,,$6.78
A4410,,,$11.82
A4411,,,$5.56
A4412,,,$3.54
A4413,,,$6.02
A4414,,,$5.37
A4416,,,$3.01
A4417,,,$4.07
A4419,,,$1.88
A4422,,,$0.14
A4423,,,$2.42
A4424,,,$5.19
