HCPCS,Mod,Mod2,JURIS,CATG,Ceiling,Floor,WA (NR),WA (R),Short Description
A4216,,,J,OS,0.63,0.54,0.54,0,"Sterile water/saline, 10 ml"
A4217,,,J,SU,4.47,3.8,4.47,0,"Sterile water/saline, 500 ml"
A4217,AU,,J,OS,4.47,3.8,4.47,0,"Sterile water/saline, 500 ml"
A4221,,,D,SU,0,0,25.87,28.8,Supp non-insulin inf cath/wk
A4222,,,D,SU,0,0,49.07,56,Infusion supplies with pump
A4224,,,D,SU,0,0,25.87,28.8,Supply insulin inf cath/wk
A4225,,,D,SU,0,0,3.47,3.6,Sup/ext insulin inf pump syr
A4233,NU,,D,IN,0,0,0.51,0,Alkalin batt for glucose mon
A4234,NU,,D,IN,0,0,2.36,0,J-cell batt for glucose mon
A4235,NU,,D,IN,0,0,1,0,Lithium batt for glucose mon
A4236,NU,,D,IN,0,0,1.16,0,Silvr oxide batt glucose mon
A4238,KF,,D,SU,0,0,280.71,0,Adju cgm supply allowance
A4239,,,D,SU,273.28,232.29,273.28,0,Non-adju cgm supply allow
A4239,KF,,D,SU,317.97,270.27,317.97,0,Non-adju cgm supply allow
A4253,NU,,D,IN,0,0,8.32,0,Blood glucose/reagent strips
A4255,,,D,SU,5.85,4.97,5.85,0,Glucose monitor platforms
A4256,,,D,SU,0,0,3.38,0,Calibrator solution/chips
A4257,,,D,SU,18.19,15.46,18.19,0,Replace lensshield cartridge
A4258,,,D,SU,0,0,2.12,0,Lancet device each
A4259,,,D,SU,0,0,1.42,0,Lancets per box
A4265,,,J,SU,4.86,4.13,4.86,0,Paraffin
A4271,,,D,SU,34.1,28.99,34.1,0,Home lancing/test cartridges
A4280,,,D,PO,9.08,6.81,7.38,0,Brst prsths adhsv attchmnt
A4295,,,J,OS,2.58,2.19,2.58,0,Straigh tip hydrophilic cath
A4296,,,J,OS,9.15,7.78,9.15,0,Coude tip hydrophilic cath
A4297,,,J,OS,9.99,8.49,9.99,0,Hydrophilic coat insert sup
A4310,,,J,OS,11.01,9.36,11.01,0,Insert tray w/o bag/cath
A4311,,,J,OS,21.11,17.94,21.11,0,Catheter w/o bag 2-way latex
A4312,,,J,OS,25.7,21.85,24.45,0,Cath w/o bag 2-way silicone
A4313,,,J,OS,26.4,22.44,24.45,0,Catheter w/bag 3-way
A4314,,,J,OS,36.03,30.63,36.03,0,Cath w/drainage 2-way latex
A4315,,,J,OS,37.59,31.95,37.59,0,Cath w/drainage 2-way silcne
A4316,,,J,OS,40.47,34.4,40.47,0,Cath w/drainage 3-way
A4320,,,J,OS,7.61,6.47,7.61,0,Irrigation tray
A4321,,,J,OS,0,0,0,0,Cath therapeutic irrig agent
A4322,,,D,OS,4.35,3.7,4.35,0,Irrigation syringe
A4326,,,J,OS,15.37,13.06,15.37,0,Male external catheter
A4327,,,J,OS,63.57,54.03,60.23,0,Fem urinary collect dev cup
A4328,,,J,OS,14.87,12.64,14.87,0,Fem urinary collect pouch
A4330,,,J,OS,10.21,8.68,10.21,0,Stool collection pouch
A4331,,,J,OS,4.53,3.85,4.53,0,Extension drainage tubing
A4332,,,J,OS,0.15,0.13,0.15,0,Lube sterile packet
A4333,,,J,OS,3.16,2.69,3.16,0,Urinary cath anchor device
A4334,,,J,OS,7.01,5.96,7.01,0,Urinary cath leg strap
A4336,,,J,OS,2.05,1.74,2.05,0,Urethral insert
A4338,,,J,OS,17.48,14.86,17.48,0,Indwelling catheter latex
A4340,,,J,OS,45.25,38.46,45.25,0,Indwelling catheter special
A4341,,,D,OS,347.75,295.59,347.75,0,Iduc valve pat inst repl
A4342,,,D,OS,878.06,746.35,878.06,0,Iduc valve sply repl
