Procedure Code,Description,Mod1,Rate Type,RBRVS Place of Service*,Price,Effective Date
A0130,Noner transport wheelch van,,,,17.72,20001001
A0225,Neonatal emergency transport,,,,337.91,20120901
A0424,Extra ambulance attendant,,,,19.36,20120901
A0425,Ground mileage,,,,3.75,20120901
A0426,Als 1,,,,139.87,20120901
A0427,Als1-emergency,,,,420.62,20140101
A0428,Bls,,,,144.91,20120901
A0429,Bls-emergency,,,,311.42,20140101
A0430,Fixed wing air transport,,,,2951.45,20240701
A0430,Fixed wing air transport,TN,,,4427.17,20240701
A0431,Rotary wing air transport,,,,3431.51,20240701
A0431,Rotary wing air transport,TN,,,5147.27,20240701
A0433,Als 2,,,,376.77,20120901
A0434,Specialty care transport,,,,2860.62,20120901
A0435,Fixed wing air mileage,,,,8.4,20240701
A0435,Fixed wing air mileage,TN,,,12.6,20240701
A0436,Rotary wing air mileage,,,,22.39,20240701
A0436,Rotary wing air mileage,TN,,,33.59,20240701
A0998,Ambulance response/treatment,,,,420.62,20200318
A4206,1 cc sterile syringe&needle,NU,,,0.32,20120701
A4207,2 cc sterile syringe&needle,NU,,,0.16,20120701
A4208,3 cc sterile syringe&needle,NU,,,0.14,20241001
A4209,5+ cc sterile syringe&needle,NU,,,0.42,20120701
A4210,Nonneedle injection device,NU,,,240.19,20120701
A4213,20+ cc syringe only,NU,,,1.22,20241001
A4215,Sterile needle,NU,,,0.22,20241001
A4216,"Sterile water/saline, 10 ml",NU,,,0.42,20241001
A4217,"Sterile water/saline, 500 ml",NU,,,3.42,20241001
A4220,Infusion pump refill kit,,,,154.51,20120701
A4221,Supp non-insulin inf cath/wk,NU,,,21.74,20241001
A4222,Infusion supplies with pump,,,,42.19,20241001
A4224,Supply insulin inf cath/wk,NU,,,21.74,20241001
A4225,Sup/ext insulin inf pump syr,NU,,,2.73,20241001
A4233,Alkalin batt for glucose mon,NU,,,0.71,20120701
A4234,J-cell batt for glucose mon,NU,,,3.22,20120701
A4235,Lithium batt for glucose mon,NU,,,2.08,20120701
A4236,Silvr oxide batt glucose mon,NU,,,1.49,20120701
A4238,Adju cgm supply allowance,NU,,,261.95,20220401
A4239,Non-adju cgm supply allow,NU,,,296.72,20230101
A4244,Alcohol or peroxide per pint,NU,,,0.98,20120701
A4245,Alcohol wipes per box,NU,,,2.86,20120701
A4246,Betadine/phisohex solution,NU,,,4.13,20120701
A4247,Betadine/iodine swabs/wipes,NU,,,6.5,20241001
A4253,Blood glucose/reagent strips,NU,,,32.78,20120701
A4255,Glucose monitor platforms,NU,,,4.49,20241001
A4256,Calibrator solution/chips,NU,,,10.15,20120701
A4258,Lancet device each,NU,,,15.75,20120701
A4259,Lancets per box,NU,,,11.04,20241001
A4261,Cervical cap contraceptive,,,,86.25,20120501
A4264,Intratubal occlusion device,,,,1400,20121101
A4265,Paraffin,NU,,,3.72,20241001
A4266,Diaphragm,,,,80,20150101
A4267,Male condom,,,,1.05,20120501
A4268,Female condom,,,,3.1,20120501
A4269,Spermicide,,,,18,20160401
A4280,Brst prsths adhsv attchmnt,NU,,,5.66,20241001
A4305,Drug delivery system >=50 ml,,,,28.24,20241001
A4306,Drug delivery system <=50 ml,,,,28.24,20241001
A4310,Insert tray w/o bag/cath,,,,7.17,20241001
A4310,Insert tray w/o bag/cath,NU,,,7.17,20241001
A4311,Catheter w/o bag 2-way latex,,,,13.74,20241001
A4311,Catheter w/o bag 2-way latex,NU,,,13.74,20241001
A4312,Cath w/o bag 2-way silicone,,,,16.74,20241001
A4312,Cath w/o bag 2-way silicone,NU,,,16.74,20241001
A4313,Catheter w/bag 3-way,,,,17.18,20241001
A4313,Catheter w/bag 3-way,NU,,,17.18,20241001
A4314,Cath w/drainage 2-way latex,,,,23.46,20241001
A4314,Cath w/drainage 2-way latex,NU,,,23.46,20241001
A4315,Cath w/drainage 2-way silcne,,,,24.47,20241001
A4315,Cath w/drainage 2-way silcne,NU,,,24.47,20241001
A4316,Cath w/drainage 3-way,,,,26.35,20241001
A4316,Cath w/drainage 3-way,NU,,,26.35,20241001
A4320,Irrigation tray,,,,5.83,20241001
A4320,Irrigation tray,NU,,,5.83,20241001
A4322,Irrigation syringe,,,,2.99,20241001
A4322,Irrigation syringe,NU,,,2.99,20241001
A4326,Male external catheter,,,,11.32,20241001
A4326,Male external catheter,NU,,,11.32,20241001
A4327,Fem urinary collect dev cup,,,,48.69,20241001
A4327,Fem urinary collect dev cup,NU,,,48.69,20241001
A4328,Fem urinary collect pouch,,,,10.78,20241001
A4328,Fem urinary collect pouch,NU,,,10.78,20241001
A4330,Stool collection pouch,,,,7.56,20241001
A4330,Stool collection pouch,NU,,,7.56,20241001
A4331,Extension drainage tubing,,,,3.47,20241001
A4331,Extension drainage tubing,NU,,,3.47,20241001
A4332,Lube sterile packet,NU,,,0.12,20241001
A4333,Urinary cath anchor device,,,,2.42,20241001
A4333,Urinary cath anchor device,NU,,,2.42,20241001
A4334,Urinary cath leg strap,,,,5.37,20241001
A4334,Urinary cath leg strap,NU,,,5.37,20241001
A4335,Incontinence supply,,,,1.17,20241001
A4335,Incontinence supply,NU,,,1.17,20241001
A4338,Indwelling catheter latex,,,,13.39,20241001
A4338,Indwelling catheter latex,NU,,,13.39,20241001
A4340,Indwelling catheter special,,,,34.66,20241001
A4340,Indwelling catheter special,NU,,,34.66,20241001
A4344,Cath indw foley 2 way silicn,,,,17.47,20241001
A4344,Cath indw foley 2 way silicn,NU,,,17.47,20241001
A4346,Cath indw foley 3 way,,,,21.38,20241001
A4346,Cath indw foley 3 way,NU,,,21.38,20241001
A4349,Disposable male external cat,NU,,,2.19,20241001
A4351,Straight tip urine catheter,,,,1.98,20241001
A4351,Straight tip urine catheter,NU,,,1.98,20241001
A4352,Coude tip urinary catheter,,,,7.01,20241001
A4352,Coude tip urinary catheter,NU,,,7.01,20241001
A4353,Intermittent urinary cath,,,,7.65,20241001
A4353,Intermittent urinary cath,NU,,,7.65,20241001
A4354,Cath insertion tray w/bag,,,,10.95,20241001
A4354,Cath insertion tray w/bag,NU,,,10.95,20241001
A4355,Bladder irrigation tubing,,,,9.74,20241001
A4355,Bladder irrigation tubing,NU,,,9.74,20241001
A4356,Ext ureth clmp or compr dvc,,,,46.32,20241001
A4356,Ext ureth clmp or compr dvc,NU,,,46.32,20241001
A4357,Bedside drainage bag,,,,10.6,20241001
A4357,Bedside drainage bag,NU,,,10.6,20241001
A4358,Urinary leg or abdomen bag,,,,6.38,20241001
A4358,Urinary leg or abdomen bag,NU,,,6.38,20241001
A4361,Ostomy face plate,,,,20.04,20241001
A4361,Ostomy face plate,NU,,,20.04,20241001
A4362,Solid skin barrier,,,,3.22,20241001
A4362,Solid skin barrier,NU,,,3.22,20241001
A4363,"Ostomy clamp, replacement",NU,,,2.58,20241001
A4364,"Adhesive, liquid or equal",NU,,,3.21,20241001
A4366,Ostomy vent,NU,,,1.41,20241001
A4367,Ostomy belt,,,,8.03,20241001
A4367,Ostomy belt,NU,,,8.03,20241001
A4369,Skin barrier liquid per oz,,,,2.25,20241001
A4369,Skin barrier liquid per oz,NU,,,2.25,20241001
A4371,Skin barrier powder per oz,,,,3.92,20241001
A4371,Skin barrier powder per oz,NU,,,3.92,20241001
A4372,Skin barrier solid 4x4 equiv,,,,4.58,20241001
A4372,Skin barrier solid 4x4 equiv,NU,,,4.58,20241001
A4373,Skin barrier with flange,,,,6.84,20241001
A4373,Skin barrier with flange,NU,,,6.84,20241001
A4375,Drainable plastic pch w fcpl,,,,18.74,20241001
A4375,Drainable plastic pch w fcpl,NU,,,18.74,20241001
A4376,Drainable rubber pch w fcplt,,,,51.94,20241001
A4376,Drainable rubber pch w fcplt,NU,,,51.94,20241001
A4377,Drainable plstic pch w/o fp,,,,4.68,20241001
A4377,Drainable plstic pch w/o fp,NU,,,4.68,20241001
A4378,Drainable rubber pch w/o fp,,,,33.56,20241001
A4378,Drainable rubber pch w/o fp,NU,,,33.56,20241001
A4379,Urinary plastic pouch w fcpl,,,,16.39,20241001
A4379,Urinary plastic pouch w fcpl,NU,,,16.39,20241001
A4380,Urinary rubber pouch w fcplt,,,,40.75,20241001
A4380,Urinary rubber pouch w fcplt,NU,,,40.75,20241001
A4381,Urinary plastic pouch w/o fp,,,,5.05,20241001
A4381,Urinary plastic pouch w/o fp,NU,,,5.05,20241001
A4382,Urinary hvy plstc pch w/o fp,,,,26.87,20241001
A4382,Urinary hvy plstc pch w/o fp,NU,,,26.87,20241001
A4383,Urinary rubber pouch w/o fp,,,,30.77,20241001
A4383,Urinary rubber pouch w/o fp,NU,,,30.77,20241001
A4384,Ostomy faceplt/silicone ring,,,,10.49,20241001
A4384,Ostomy faceplt/silicone ring,NU,,,10.49,20241001
A4385,Ost skn barrier sld ext wear,,,,5.56,20241001
A4385,Ost skn barrier sld ext wear,NU,,,5.56,20241001
A4387,Ost clsd pouch w att st barr,,,,3.8,20120701
A4387,Ost clsd pouch w att st barr,NU,,,3.8,20120701
A4388,Drainable pch w ex wear barr,,,,4.76,20241001
A4388,Drainable pch w ex wear barr,NU,,,4.76,20241001
A4389,Drainable pch w st wear barr,,,,6.78,20241001
A4389,Drainable pch w st wear barr,NU,,,6.78,20241001
A4390,Drainable pch ex wear convex,,,,10.48,20241001
A4390,Drainable pch ex wear convex,NU,,,10.48,20241001
A4391,Urinary pouch w ex wear barr,,,,7.71,20241001
A4391,Urinary pouch w ex wear barr,NU,,,7.71,20241001
A4392,Urinary pouch w st wear barr,,,,8.92,20241001
A4392,Urinary pouch w st wear barr,NU,,,8.92,20241001
A4393,Urine pch w ex wear bar conv,,,,9.86,20241001
A4393,Urine pch w ex wear bar conv,NU,,,9.86,20241001
A4394,Ostomy pouch liq deodorant,,,,2.83,20241001
A4394,Ostomy pouch liq deodorant,NU,,,2.83,20241001
A4395,Ostomy pouch solid deodorant,,,,0.05,20120701
A4395,Ostomy pouch solid deodorant,NU,,,0.05,20120701
A4396,Peristomal hernia supprt blt,,,,44.18,20241001
A4396,Peristomal hernia supprt blt,NU,,,44.18,20241001
A4398,Ostomy irrigation bag,,,,15.09,20241001
A4398,Ostomy irrigation bag,NU,,,15.09,20241001
A4399,Ostomy irrig cone/cath w brs,,,,13.39,20241001
A4399,Ostomy irrig cone/cath w brs,NU,,,13.39,20241001
A4402,Lubricant per ounce,,,,1.74,20241001
A4402,Lubricant per ounce,NU,,,1.74,20241001
A4404,Ostomy ring each,,,,1.56,20241001
A4404,Ostomy ring each,NU,,,1.56,20241001
A4405,Nonpectin based ostomy paste,NU,,,3.73,20241001
A4406,Pectin based ostomy paste,NU,,,6.25,20241001
A4407,"Ext wear ost skn barr <=4sq""",NU,,,9.56,20241001
A4408,"Ext wear ost skn barr >4sq""",NU,,,10.78,20241001
A4409,Ost skn barr convex <=4 sq i,NU,,,6.78,20241001
A4410,Ost skn barr extnd >4 sq,NU,,,9.86,20241001
A4411,Ost skn barr extnd =4sq,NU,,,5.56,20241001
A4412,Ost pouch drain high output,NU,,,2.95,20241001
A4413,2 pc drainable ost pouch,NU,,,6.02,20241001
